ticker
CVX
XOM
IBM
GE
MSFT
MMM
WMT
BA
VZ
UNH
AAPL
TRV
MCD
KO
JPM
HD
NKE
DIS
JNJ
PFE
UTX
CSCO
DD
MRK
PG
AXP
CAT
INTC
GS
