Date,CVX,XOM,IBM,GE,MSFT,MMM,WMT,BA,VZ,UNH,AAPL,TRV,MCD,KO,JPM,HD,NKE,DIS,JNJ,PFE,UTX,CSCO,DD,MRK,PG,AXP,CAT,INTC,GS
2005-01-03,33.617017,37.234164,76.974614,24.270439,20.475361,60.680614,41.267812,38.482557,20.270884,38.835326,4.117687,28.000225,22.262276,14.610413000000001,28.477058000000003,32.149246000000005,9.727484,23.449548999999998,44.299694,16.255658,39.497837,16.532995,30.877629,19.529937,39.372144,40.673652000000004,34.650738,16.334054000000002,91.504641
2005-01-04,33.385858,36.981427000000004,76.147774,23.978583999999998,20.551933,60.187217000000004,41.167255,37.735102000000005,20.065623000000002,38.436302000000005,4.159977,27.842371999999997,22.444182,14.406416,28.183553999999997,31.738989,9.589117,23.19695,44.158836,16.255658,39.041501000000004,15.882628,30.211298,19.448718,38.879903999999996,40.062565,34.268037,16.008364,90.911757
2005-01-05,33.603808,36.788158,75.990284,23.832655,20.50599,59.450802,41.221402000000005,38.361757,20.035584,38.570802,4.196411,27.79727,22.269273000000002,14.33959,28.242256,31.448079999999997,9.474347999999999,23.070652,44.130664,16.145032999999998,38.750063,15.891186,29.808983,19.579918,39.286538,39.690742,33.611982,15.852599,90.501975
2005-01-06,34.165191,37.256464,75.754042,24.025015,20.483017999999998,59.988381999999994,41.809283,38.112604,19.992615,39.422652,4.199664,27.925058,22.444182,14.459173999999999,28.403679999999998,30.978147999999997,9.462549000000001,23.104332,44.257436,16.157325,38.773071,16.130795000000003,29.802698,19.717364,39.479154,39.4866,34.10767,15.90216,91.748775
2005-01-07,33.78213,37.011161,75.423309,23.879087,20.421761,60.606974,41.762873,37.984255,19.921845,39.108814,4.505449,27.79727,22.297259,14.47676,28.176218,30.896096000000004,9.406773,22.876994,44.09545,16.16347,38.355082,16.019547,29.777551000000003,19.448718,39.892920000000004,39.194973,34.034773,16.142886999999998,91.356422
2005-01-10,33.934034000000004,37.152396,75.344564,23.819389,20.521304,61.814693999999996,41.55402,38.490106,19.729754,39.274698,4.486581,27.864921999999996,22.157332,14.557654999999999,28.080828999999998,31.179547999999997,9.50009,22.969611999999998,44.44055,16.249512,38.24771,16.019547,29.821555,19.679879,40.206815,39.275171,33.721323,16.199529000000002,91.530803
2005-01-11,33.947243,37.05576,74.809088,23.481103,20.467703,62.38173199999999,41.45346,38.369306,19.512388,39.234349,4.200315,28.037809000000003,21.758542000000002,14.47676,27.809340000000002,31.112415000000002,9.455041,22.910674,44.285608,16.071282999999998,38.408771,15.951088,29.6644,19.473709,40.16401,38.910632,33.254794,15.958803,90.824569
2005-01-12,34.667136,37.605837,74.974455,23.666828,20.50599,62.565835,41.832491,39.214909000000006,19.325351,39.494384000000004,4.258869,28.218214,21.926454,14.47676,27.875378,31.477918,9.502235,23.340091,44.595494,15.997534,39.091355,16.199254999999997,29.676973999999998,19.417481,40.313821999999995,38.823145000000004,33.666654,16.397776,90.039869
2005-01-13,34.383142,37.576102,74.37598,23.368339000000002,20.115473,61.70423100000001,41.492136,38.225856,18.754135,39.633371999999994,4.541232,28.030293,21.611619,14.329038,27.713951,31.127333,9.441097000000001,23.36535,43.644706,15.567326999999999,38.577498,16.070892999999998,29.463245,19.148834,39.614698,38.553389,33.845247,16.157048,89.752151
2005-01-14,34.541649,37.962641999999995,74.100369,23.560699,20.000615,61.836786,41.762873,38.437256,18.622704000000002,40.153447,4.5672559999999995,28.180629999999997,21.905464000000002,14.409934,27.743302000000003,31.254141999999998,9.540849,23.828446,44.158836,15.518161,38.707881,16.156466,29.588967999999998,19.286282,39.864387,38.436737,34.147762,16.298653,90.868167
2005-01-18,35.063407,38.282281,74.730343,23.852554,20.153758,60.400773,42.149638,39.169610999999996,19.047326,39.812709999999996,4.596533999999999,28.518886,22.108358,14.508415,28.176218,31.448079999999997,9.514033999999999,24.198925,44.39125,15.54889,39.191056,16.036663,29.852987,19.554927,39.942859999999996,38.750236,33.873201,16.242010999999998,91.548238
2005-01-19,34.799225,37.947775,73.312905,23.507633,19.893413,60.511236,41.600429999999996,38.814758000000005,18.526657999999998,39.579570000000004,4.546437,27.812303999999997,22.122351000000002,14.455656,27.765314,31.179547999999997,9.497946,23.996845999999998,44.24335,15.290766,38.750063,15.531773000000001,29.783841,19.379995,40.616456,38.68462,33.499803,16.001284,90.728661
2005-01-20,34.317095,37.702473,73.23416,23.461202,19.801528,61.085639,41.283283000000004,38.429707,18.334567,38.839806,4.584172,27.406394,22.003413000000002,14.536553,27.332397999999998,30.6947,9.310239,24.013685,44.010936,15.352224,38.263049,15.67725,29.689546999999997,19.198815,40.630788,38.203432,32.976310999999995,15.987123,90.15321899999999
2005-01-21,34.330304,37.494334,72.74593,23.30201,19.640726,59.848461,41.004812,37.803052,18.450832000000002,39.835125,4.586124,27.210957,21.863487,14.388829999999999,27.038895,30.508219,9.256609,23.702148,43.560190000000006,15.044934,38.378093,15.411969000000001,29.362665999999997,18.967655,39.878367,37.860769,32.665146,15.87384,90.31053399999999
2005-01-24,34.719971,38.007244,72.281329,23.388238,19.65604,60.106211,41.051225,37.4784,18.627760000000002,39.566121,4.60369,27.789754,22.206306,14.406416,27.060909000000002,30.127798,9.257681,23.533749,43.306649,14.909726000000001,37.96394,15.189475,28.922634000000002,18.649028,39.563064000000004,38.349246,32.258798999999996,15.56939,90.23187
