Date,CVX,XOM,IBM,GE,MSFT,MMM,WMT,BA,VZ,UNH,AAPL,TRV,MCD,KO,JPM,HD,NKE,DIS,JNJ,PFE,UTX,CSCO,DD,MRK,PG,AXP,CAT,INTC,GS
2006-09-29,0.959290046253,1.00274637669,0.619163329502,0.689010145896,0.7478670181,0.746360649515,0.792976273102,1.0718354944,0.810205935007,0.727645663292,1.48446278152,0.9711555026,0.926380319351,0.520253972151,1.09351664341,1.04653586747,0.483185340374,0.797334867558,0.359180171107,0.837607591759,0.996957204564,1.06721098342,0.853026383214,0.713669015171,0.595687350245,1.01403549404,1.51555507055,1.25622326009,1.51286803904
2006-10-31,0.821179075277,0.913482824102,0.705434985921,0.695500333556,0.736086454223,0.773902366971,0.824805546286,1.09519250255,0.829932792474,0.624023182941,1.57620562227,1.00766754114,0.832297381642,0.533941501187,1.14290464724,1.06042776796,0.533659811531,0.793269571726,0.305326873066,0.83107273619,0.97994771887,1.15983733975,0.889995538344,0.750824378221,0.57381363413,0.950300450766,1.53059538954,1.40984707661,1.54653503151
2006-11-30,0.809244993319,0.901183016416,0.741254638811,0.691385539368,0.718552308896,0.792249142557,0.803187688963,1.15248403792,0.862295166974,0.6490697254,1.539994881,0.953978636793,0.863887990585,0.556153439379,1.15761679213,1.04122284524,0.490805619059,0.788880713862,0.374002843028,0.840776887199,1.02663567658,1.21885056046,0.879280199228,0.732527331493,0.570393927404,0.960520126842,1.49897702397,1.42008198294,1.57820962764
2006-12-29,0.802537029957,0.89903697961,0.781791340474,0.691206138756,0.755435044042,0.776156565444,0.815580496511,1.11906523591,0.875203503874,0.600493002356,1.51583455096,0.949341675453,0.798102537334,0.573166596411,1.18209692275,1.04682645123,0.470482300822,0.815449841715,0.384290031213,0.760554065478,0.995642926685,1.24601508388,0.885521711471,0.792270031572,0.554572643764,0.972977522256,1.45529030269,1.40112152993,1.60780158272
2007-01-31,0.808938108664,0.853797685396,0.767871527496,0.637937757915,0.747750519083,0.745784610927,0.834072087919,1.16553545226,0.872754554739,0.62679839036,1.50899168986,0.863937192901,0.883201350724,0.520877063687,1.15806763216,1.04821884306,0.519159969312,0.782628306116,0.34582261815,0.699103772697,1.02262782295,1.24836262168,0.929632208088,0.762708007605,0.536447853095,0.972815819849,1.41732603702,1.37745635935,1.67965953611
2007-02-28,0.85805049427,0.919094475362,0.762427077487,0.631826816445,0.788863028318,0.736584368328,0.85685109165,1.11976111611,0.902383194731,0.654684872904,1.42307654548,0.870113102484,0.886631090681,0.529148380489,1.14665137377,0.972907827268,0.580302038071,0.95834893699,0.350320833742,0.668182657889,1.02931045529,1.26432083548,0.954074481811,0.74101047183,0.630685948191,0.977438103584,1.36812880096,1.38922673805,1.78395698623
2007-03-30,0.850290429632,0.90093442712,0.761839050277,0.629446907033,0.844648056588,0.691975085081,0.883762414995,1.06426120329,0.908603780957,0.617206567433,1.30807460909,0.873352765582,0.902536567181,0.53121769476,1.21712127892,0.969655188968,0.610395511276,0.969041400137,0.34932294264,0.701071046679,1.01738404038,1.23064177881,0.982869433818,0.739811853085,0.648202364445,1.05102571879,1.30374379336,1.37506381002,1.77128398729
2007-04-30,0.852839702472,0.92367519379,0.750221404007,0.613933091784,0.844949582711,0.663702135668,0.912140160135,1.06014252884,0.88168485108,0.675547125552,1.2659318439,0.836350905395,0.919172696292,0.527947557526,1.21038316959,0.983212105837,0.601436516858,0.98393978782,0.351889390447,0.68362643135,0.991689606499,1.22101304919,0.998315464537,0.752080984886,0.629257960263,1.06763867361,1.29279482512,1.39457611452,1.79463288937
2007-05-31,0.83066923636,0.90219570115,0.784680467727,0.629281186105,0.838967797498,0.683134767584,0.841533764634,1.0144859457,0.865406800547,0.699792140131,1.2297756758,0.850891773398,0.929843982538,0.52890968088,1.17260119427,0.942032335414,0.621997714426,1.0002168008,0.398785825681,0.650873696785,1.00405221476,1.26659606,1.02068601534,0.723774217043,0.606776919994,1.07691460162,1.280228882,1.40232250924,1.73293679838
2007-06-29,0.824899564221,0.929514174734,0.858172236221,0.682357294363,0.947972855775,0.694277432757,0.912203723526,0.922091026025,0.864723799219,0.700648954805,1.1065219132,0.837681383435,0.884570931381,0.573299363237,1.2167704544,0.912305011381,0.724806920208,1.06910322114,0.446242785051,0.693054958789,1.02617840165,1.23600451813,0.992937833512,0.741180168897,0.659780522615,1.1130718742,1.16296262022,1.48746095134,1.71224704667
